episode_id,seat,team,opponent,reward,opponent_reward,outcome,margin,shops,first_diff_step,first_diff_components,diff_turns,diff_market_turns,diff_farmer_turns,diff_hand_turns,action_hash_24,action_hash_100,action_hash_200,action_hash_400,action_hash_719,unit_counts,sell_counts,buy_counts,hires,land_buys,final_assets,final_shed
92927508,0,道海孤舟,Madhur Sabherwal,67331.0,68198.0,L,-867.0,"[""YARN_STORE"",""PIZZA_SHOP"",""BRUNCH_SPOT"",""YARN_STORE"",""YARN_STORE"",""ICE_CREAM_SHOP"",""PET_CAFE"",""YARN_STORE""]",0,market,719,424,642,689,fccadba09c450296,e41f9099cd6b6fde,3ec0344767db01dd,8a6a00574f672b90,73aa0afaca9f9ca7,"{""BUILD_COOP"":2,""BUILD_PASTURE"":12,""CARE"":577,""COLLECT_FERTILIZER"":498,""DIG"":20,""DROP"":263,""EAST"":690,""FEED"":370,""HARVEST"":221,""NORTH"":717,""PASS"":1364,""PICKUP"":313,""PLACE"":17,""PLANT"":22,""SOUTH"":439,""WATER"":273,""WEST"":777}","{""CARROT"":4,""EGG"":35,""FERTILIZER"":252,""MELON"":25,""MILK"":120,""STRAWBERRY"":24,""TOMATO"":4,""WHEAT"":1125,""WOOL"":148}","{""BUY_ANIMAL:COW"":5,""BUY_ANIMAL:GOOSE"":1,""BUY_ANIMAL:SHEEP"":6,""BUY_PRODUCT:WHEAT"":1366,""BUY_SEED:CARROT"":2,""BUY_SEED:MELON"":6,""BUY_SEED:STRAWBERRY"":7,""BUY_SEED:TOMATO"":1,""BUY_SEED:WHEAT"":6}",255,2,"{""COW"":5,""GOOSE"":1,""SHEEP"":6,""STRAWBERRY"":1}","{""WHEAT"":10}"
92927508,1,Madhur Sabherwal,道海孤舟,68198.0,67331.0,W,867.0,"[""YARN_STORE"",""PIZZA_SHOP"",""BRUNCH_SPOT"",""YARN_STORE"",""YARN_STORE"",""ICE_CREAM_SHOP"",""PET_CAFE"",""YARN_STORE""]",0,market,719,376,651,689,3ae2b0497968c251,694492c1c0d57f70,acd5935d540795b5,aeb9534981f5d483,d24ef949f2f15202,"{""BUILD_COOP"":2,""BUILD_PASTURE"":13,""CARE"":272,""COLLECT_FERTILIZER"":120,""DIG"":6,""DROP"":68,""EAST"":879,""FEED"":285,""FERTILIZE"":20,""HARVEST"":173,""NORTH"":1751,""PASS"":1,""PICKUP"":174,""PLACE"":21,""PLANT"":118,""SOUTH"":1029,""WATER"":488,""WEST"":1214}","{""CARROT"":4,""EGG"":10,""FERTILIZER"":100,""MELON"":24,""MILK"":138,""STRAWBERRY"":44,""WHEAT"":428,""WOOL"":176}","{""BUY_ANIMAL:COW"":8,""BUY_ANIMAL:GOOSE"":2,""BUY_ANIMAL:SHEEP"":10,""BUY_PRODUCT:WHEAT"":611,""BUY_SEED:CARROT"":6,""BUY_SEED:MELON"":7,""BUY_SEED:STRAWBERRY"":18,""BUY_SEED:WHEAT"":60}",262,1,"{""COW"":5,""GOOSE"":1,""SHEEP"":8,""STRAWBERRY"":15}","{""GOOSE"":1,""WHEAT"":19,""WOOL"":4}"
92928454,0,道海孤舟,Chirag Desai,69479.0,14321.0,W,55158.0,"[""SMOOTHIE_SHOP"",""ICE_CREAM_SHOP"",""BAKERY"",""PET_CAFE"",""BRUNCH_SPOT"",""YARN_STORE"",""PET_CAFE"",""FARMERS_MARKET""]",0,market,719,411,653,689,fccadba09c450296,74534bf7a6efa08a,b9529f58c9ee122d,73c9287d2b37e87a,cdcbeb04520d21b7,"{""BUILD_COOP"":2,""BUILD_PASTURE"":10,""CARE"":559,""COLLECT_FERTILIZER"":473,""DIG"":17,""DROP"":252,""EAST"":762,""FEED"":339,""HARVEST"":229,""NORTH"":660,""PASS"":1255,""PICKUP"":313,""PLACE"":14,""PLANT"":27,""SOUTH"":413,""WATER"":269,""WEST"":958}","{""CARROT"":16,""EGG"":60,""FERTILIZER"":222,""MELON"":25,""MILK"":129,""STRAWBERRY"":27,""WHEAT"":1079,""WOOL"":88}","{""BUY_ANIMAL:COW"":5,""BUY_ANIMAL:GOOSE"":2,""BUY_ANIMAL:SHEEP"":4,""BUY_PRODUCT:WHEAT"":1295,""BUY_SEED:CARROT"":8,""BUY_SEED:MELON"":6,""BUY_SEED:STRAWBERRY"":7,""BUY_SEED:WHEAT"":6}",254,2,"{""COW"":5,""GOOSE"":2,""SHEEP"":4}","{""WHEAT"":10}"
92928454,1,Chirag Desai,道海孤舟,14321.0,69479.0,L,-55158.0,"[""SMOOTHIE_SHOP"",""ICE_CREAM_SHOP"",""BAKERY"",""PET_CAFE"",""BRUNCH_SPOT"",""YARN_STORE"",""PET_CAFE"",""FARMERS_MARKET""]",0,"market,farmer",719,403,663,687,e46e7e5827c22b36,cf5f0b06568cca6d,6e2cb63c0d243a2c,3cd6d5e5f0a97054,f66cd26fe635adba,"{""BUILD_PASTURE"":8,""CARE"":21,""COLLECT_FERTILIZER"":27,""DIG"":120,""EAST"":1366,""FEED"":119,""HARVEST"":314,""NORTH"":1243,""PASS"":201,""PICKUP"":70,""PLACE"":8,""PLANT"":423,""SOUTH"":703,""WATER"":611,""WEST"":1494}","{""CARROT"":152,""FERTILIZER"":21,""MELON"":50,""MILK"":32,""WHEAT"":398,""WOOL"":8}","{""BUY_ANIMAL:COW"":6,""BUY_ANIMAL:SHEEP"":2,""BUY_PRODUCT:WHEAT"":306,""BUY_SEED:CARROT"":224,""BUY_SEED:MELON"":13,""BUY_SEED:WHEAT"":152}",275,2,"{""COW"":5,""SHEEP"":2}",{}
92929391,0,道海孤舟,Gryffin Wang,54773.0,48720.0,W,6053.0,"[""YARN_STORE"",""BRUNCH_SPOT"",""BAKERY"",""YARN_STORE"",""BRUNCH_SPOT"",""FARMERS_MARKET"",""BAKERY"",""BAKERY""]",0,market,719,428,644,689,fccadba09c450296,a479f6073965d0a9,58b15a2704f520f3,9c79b2f062b2ef20,716c6bc4dfd98752,"{""BUILD_COOP"":3,""BUILD_PASTURE"":10,""CARE"":594,""COLLECT_FERTILIZER"":517,""DIG"":14,""DROP"":242,""EAST"":690,""FEED"":371,""HARVEST"":260,""NORTH"":662,""PASS"":1294,""PICKUP"":336,""PLACE"":16,""PLANT"":20,""SOUTH"":379,""WATER"":221,""WEST"":923}","{""CARROT"":4,""EGG"":92,""FERTILIZER"":251,""MELON"":25,""MILK"":87,""STRAWBERRY"":24,""WHEAT"":1121,""WOOL"":148}","{""BUY_ANIMAL:COW"":3,""BUY_ANIMAL:GOOSE"":3,""BUY_ANIMAL:SHEEP"":6,""BUY_PRODUCT:WHEAT"":1366,""BUY_SEED:CARROT"":2,""BUY_SEED:MELON"":6,""BUY_SEED:STRAWBERRY"":6,""BUY_SEED:WHEAT"":6}",254,2,"{""COW"":3,""GOOSE"":3,""SHEEP"":6}","{""WHEAT"":10}"
92929391,1,Gryffin Wang,道海孤舟,48720.0,54773.0,L,-6053.0,"[""YARN_STORE"",""BRUNCH_SPOT"",""BAKERY"",""YARN_STORE"",""BRUNCH_SPOT"",""FARMERS_MARKET"",""BAKERY"",""BAKERY""]",0,"market,farmer",719,368,618,689,4da9bf4be3b9ab67,b445675745c2186b,2a35c5caa761f30d,d6c203e4ebebae43,f02875c864118f1f,"{""BUILD_PASTURE"":14,""CARE"":277,""COLLECT_FERTILIZER"":120,""DIG"":36,""DROP"":15,""EAST"":1019,""FEED"":281,""HARVEST"":288,""NORTH"":1125,""PASS"":676,""PICKUP"":334,""PLACE"":14,""PLANT"":161,""SOUTH"":848,""WATER"":1260,""WEST"":1427}","{""FERTILIZER"":113,""MELON"":124,""MILK"":111,""STRAWBERRY"":101,""WHEAT"":367,""WOOL"":120}","{""BUY_ANIMAL:COW"":8,""BUY_ANIMAL:SHEEP"":6,""BUY_PRODUCT:WHEAT"":551,""BUY_SEED:MELON"":25,""BUY_SEED:STRAWBERRY"":49,""BUY_SEED:WHEAT"":112}",317,2,"{""COW"":8,""SHEEP"":6,""STRAWBERRY"":16,""WHEAT"":27}",{}
92930322,0,Swaroop Kallakuri,道海孤舟,59837.0,72424.0,L,-12587.0,"[""ICE_CREAM_SHOP"",""YARN_STORE"",""BAKERY"",""BAKERY"",""ICE_CREAM_SHOP"",""PIZZA_SHOP"",""YARN_STORE"",""ICE_CREAM_SHOP""]",0,market,719,507,605,689,2f0dd7a6083dfa9d,760f9e9902a721ef,ae9ef4c41779e774,a909f9c06ba2ca36,2edd3950019f736c,"{""BUILD_PASTURE"":25,""CARE"":360,""DIG"":24,""DROP"":717,""EAST"":184,""FEED"":325,""HARVEST"":221,""NORTH"":799,""PASS"":957,""PICKUP"":882,""PLACE"":21,""PLANT"":118,""SOUTH"":211,""WATER"":615,""WEST"":762}","{""MELON"":111,""MILK"":194,""STRAWBERRY"":14,""WHEAT"":773,""WOOL"":89}","{""BUY_ANIMAL:COW"":13,""BUY_ANIMAL:SHEEP"":8,""BUY_PRODUCT:WHEAT"":1157,""BUY_SEED:MELON"":27,""BUY_SEED:STRAWBERRY"":10,""BUY_SEED:WHEAT"":62}",240,2,"{""COW"":10,""SHEEP"":5,""STRAWBERRY"":1}","{""WHEAT"":45}"
92930322,1,道海孤舟,Swaroop Kallakuri,72424.0,59837.0,W,12587.0,"[""ICE_CREAM_SHOP"",""YARN_STORE"",""BAKERY"",""BAKERY"",""ICE_CREAM_SHOP"",""PIZZA_SHOP"",""YARN_STORE"",""ICE_CREAM_SHOP""]",0,market,719,431,631,689,fccadba09c450296,74534bf7a6efa08a,3e8033bf7dde425a,cac333b509756e8d,ff89c7f40975f1ce,"{""BUILD_COOP"":3,""BUILD_PASTURE"":13,""CARE"":592,""COLLECT_FERTILIZER"":495,""DIG"":14,""DROP"":262,""EAST"":674,""FEED"":372,""HARVEST"":218,""NORTH"":682,""PASS"":1379,""PICKUP"":327,""PLACE"":19,""PLANT"":19,""SOUTH"":415,""WATER"":254,""WEST"":814}","{""EGG"":66,""FERTILIZER"":268,""MELON"":25,""MILK"":135,""STRAWBERRY"":24,""WHEAT"":1103,""WOOL"":128}","{""BUY_ANIMAL:COW"":6,""BUY_ANIMAL:GOOSE"":2,""BUY_ANIMAL:SHEEP"":6,""BUY_PRODUCT:WHEAT"":1365,""BUY_SEED:MELON"":6,""BUY_SEED:STRAWBERRY"":7,""BUY_SEED:WHEAT"":6}",254,2,"{""COW"":6,""GOOSE"":2,""SHEEP"":6,""STRAWBERRY"":1}","{""WHEAT"":10}"
92931235,0,道海孤舟,ShirrleyChen,63492.0,41916.0,W,21576.0,"[""BAKERY"",""YARN_STORE"",""ICE_CREAM_SHOP"",""PET_CAFE"",""BRUNCH_SPOT"",""SMOOTHIE_SHOP"",""BAKERY"",""FARMERS_MARKET""]",0,market,719,432,651,689,fccadba09c450296,e41f9099cd6b6fde,35fa4beebed7f33c,d2f70922e9eb5375,87a191b41b4c6b4c,"{""BUILD_COOP"":3,""BUILD_PASTURE"":10,""CARE"":571,""COLLECT_FERTILIZER"":490,""DIG"":10,""DROP"":263,""EAST"":625,""FEED"":341,""HARVEST"":238,""NORTH"":673,""PASS"":1422,""PICKUP"":310,""PLACE"":16,""PLANT"":25,""SOUTH"":444,""WATER"":262,""WEST"":826}","{""CARROT"":12,""EGG"":73,""FERTILIZER"":245,""MELON"":25,""MILK"":120,""STRAWBERRY"":24,""WHEAT"":1090,""WOOL"":116}","{""BUY_ANIMAL:COW"":5,""BUY_ANIMAL:GOOSE"":3,""BUY_ANIMAL:SHEEP"":4,""BUY_PRODUCT:WHEAT"":1326,""BUY_SEED:CARROT"":6,""BUY_SEED:MELON"":6,""BUY_SEED:STRAWBERRY"":7,""BUY_SEED:WHEAT"":6}",253,2,"{""COW"":5,""GOOSE"":3,""SHEEP"":4,""STRAWBERRY"":1}","{""WHEAT"":10}"
92931235,1,ShirrleyChen,道海孤舟,41916.0,63492.0,L,-21576.0,"[""BAKERY"",""YARN_STORE"",""ICE_CREAM_SHOP"",""PET_CAFE"",""BRUNCH_SPOT"",""SMOOTHIE_SHOP"",""BAKERY"",""FARMERS_MARKET""]",0,market,719,402,644,689,60f35ce943d22ddd,8c88bec8bcb39431,aec16f5ccd2d610f,c4dabadff524339f,9b9d24631ca41ee6,"{""BUILD_COOP"":8,""BUILD_PASTURE"":6,""CARE"":147,""COLLECT_FERTILIZER"":253,""DIG"":69,""DROP"":57,""EAST"":1025,""FEED"":188,""FERTILIZE"":28,""HARVEST"":220,""NORTH"":1143,""PASS"":352,""PICKUP"":117,""PLACE"":15,""PLANT"":192,""SOUTH"":875,""WATER"":986,""WEST"":1342}","{""CARROT"":86,""EGG"":187,""FERTILIZER"":165,""MELON"":208,""MILK"":39,""STRAWBERRY"":49,""WHEAT"":23,""WOOL"":28}","{""BUY_ANIMAL:COW"":3,""BUY_ANIMAL:GOOSE"":9,""BUY_ANIMAL:SHEEP"":3,""BUY_PRODUCT:WHEAT"":121,""BUY_SEED:CARROT"":80,""BUY_SEED:MELON"":60,""BUY_SEED:STRAWBERRY"":23,""BUY_SEED:WHEAT"":59}",292,3,"{""COW"":3,""GOOSE"":5,""SHEEP"":3,""STRAWBERRY"":5}","{""EGG"":1,""FERTILIZER"":1,""MILK"":1,""WOOL"":1}"
