candidate,episode,seed,seat,mine,theirs,margin,outcome
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92927508,518120964,0,87715.0,2724.0,84991.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92927508,518120964,1,89029.0,1503.0,87526.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92928454,2079270697,0,165492.0,2038.0,163454.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92928454,2079270697,1,167223.0,5710.0,161513.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92929391,89767071,0,123265.0,33660.0,89605.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92929391,89767071,1,124747.0,35343.0,89404.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92930322,1566900570,0,153203.0,36141.0,117062.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92930322,1566900570,1,152073.0,35189.0,116884.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92931235,1945788117,0,129004.0,24737.0,104267.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92931235,1945788117,1,129020.0,24668.0,104352.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92932148,724919644,0,71507.0,39385.0,32122.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92932148,724919644,1,77053.0,36899.0,40154.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92967433,2103638568,0,74332.0,100434.0,-26102.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92967433,2103638568,1,55745.0,75583.0,-19838.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92971175,847064548,0,69786.0,99220.0,-29434.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92971175,847064548,1,57674.0,86181.0,-28507.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92978681,453608024,0,118638.0,97245.0,21393.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,92978681,453608024,1,118638.0,97245.0,21393.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93578320,587966492,0,123240.0,70415.0,52825.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93578320,587966492,1,120072.0,76331.0,43741.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93587364,1571400020,0,76791.0,75534.0,1257.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93587364,1571400020,1,77395.0,76117.0,1278.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93604505,966491952,0,57197.0,74568.0,-17371.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93604505,966491952,1,51709.0,68868.0,-17159.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93730164,161066296,0,83798.0,83798.0,0.0,T
E:\AI-Coding\09-Kaggriculture\research\agents\online\episode_93730164_opponent.py,93730164,161066296,1,83798.0,83798.0,0.0,T
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92927508,518120964,0,119598.0,23215.0,96383.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92927508,518120964,1,119598.0,23216.0,96382.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92928454,2079270697,0,137813.0,10366.0,127447.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92928454,2079270697,1,137811.0,9867.0,127944.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92929391,89767071,0,140974.0,34889.0,106085.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92929391,89767071,1,162486.0,38305.0,124181.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92930322,1566900570,0,109988.0,15300.0,94688.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92930322,1566900570,1,109988.0,15300.0,94688.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92931235,1945788117,0,116818.0,26691.0,90127.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92931235,1945788117,1,117607.0,26487.0,91120.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92932148,724919644,0,131605.0,45795.0,85810.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92932148,724919644,1,131639.0,45563.0,86076.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92967433,2103638568,0,80184.0,77041.0,3143.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92967433,2103638568,1,80184.0,77041.0,3143.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92971175,847064548,0,58296.0,84374.0,-26078.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92971175,847064548,1,59159.0,83557.0,-24398.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92978681,453608024,0,115425.0,113198.0,2227.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92978681,453608024,1,115425.0,113198.0,2227.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,93578320,587966492,0,86192.0,114770.0,-28578.0,L
