episode,active_seat,candidate_seat,mine,theirs,margin,outcome
93405504,1,1,70683,82267,-11584,L
93405504,1,0,70683,82267,-11584,L
93409876,1,1,50777,51114,-337,L
93409876,1,0,79752,61213,18539,W
93418009,0,0,71716,55494,16222,W
93418009,0,1,71716,55494,16222,W
93426809,0,0,94564,79073,15491,W
93426809,0,1,94760,78698,16062,W
93430251,1,1,106638,114661,-8023,L
93430251,1,0,106564,114102,-7538,L
93433790,1,1,56144,64021,-7877,L
93433790,1,0,55748,64136,-8388,L
93433953,0,0,131424,108805,22619,W
93433953,0,1,133718,111536,22182,W
93443663,0,0,65934,61905,4029,W
93443663,0,1,65934,61905,4029,W
93454417,1,1,95799,73937,21862,W
93454417,1,0,95799,73937,21862,W
93458883,0,0,96752,118434,-21682,L
93458883,0,1,96653,117672,-21019,L
