candidate,episode,seed,seat,mine,theirs,margin,outcome
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92927508,518120964,0,119598.0,23215.0,96383.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92927508,518120964,1,119598.0,23216.0,96382.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92928454,2079270697,0,137813.0,10366.0,127447.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92928454,2079270697,1,137811.0,9867.0,127944.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92929391,89767071,0,140974.0,34889.0,106085.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92929391,89767071,1,162486.0,38305.0,124181.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92930322,1566900570,0,109988.0,15300.0,94688.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92930322,1566900570,1,109988.0,15300.0,94688.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92931235,1945788117,0,116818.0,26691.0,90127.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92931235,1945788117,1,117607.0,26487.0,91120.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92932148,724919644,0,131605.0,45795.0,85810.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92932148,724919644,1,131639.0,45563.0,86076.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92967433,2103638568,0,80184.0,77041.0,3143.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92967433,2103638568,1,80184.0,77041.0,3143.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92971175,847064548,0,58296.0,84374.0,-26078.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92971175,847064548,1,59159.0,83557.0,-24398.0,L
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92978681,453608024,0,115425.0,113198.0,2227.0,W
E:\AI-Coding\09-Kaggriculture\research\agents\v50_adaptive_replay_policy.py,92978681,453608024,1,115425.0,113198.0,2227.0,W
