94419190|W|123969|Josh Hipps|cow12/sheep2|14+ (12/2)
94418303|W|91076|mzyktkhs|cow8/sheep4|8/4-mirror
94420056|W|80831|PrasadChopade213|cow14/sheep4|14+ (14/4)
94420929|W|58950|Meet Parekh|cow7/sheep7|14+ (7/7)
94421803|W|31145|Smart Manoj|cow8/sheep6|14+ (8/6)
94422679|W|4625|Marcus Vinicius|cow10/sheep4|14+ (10/4)
94423562|L|-10754|Gleb Tumanov|cow8/sheep4|8/4-mirror
94424452|L|-15802|christopher athans|cow8/sheep6|14+ (8/6)
94425325|L|-10438|Shadow|cow9/sheep4|14+ (9/4)
94425344|W|8964|nya654nya|cow8/sheep6|14+ (8/6)
94426246|L|-3568|Gena|cow8/sheep6|14+ (8/6)
94427139|W|20953|Tsung-Yeh, Hsieh|cow8/sheep6|14+ (8/6)
94428040|L|-268|Mesut Gözdemir|cow8/sheep6|14+ (8/6)
94428930|L|-9775|Stitch Clarity|cow8/sheep6|14+ (8/6)
94429829|W|21338|Jay Gautam|cow4/sheep4|other (4/4)
94430710|W|13713|Ahmed Berat Özer|cow8/sheep6|14+ (8/6)
94431535|W|14680|Prajwal Dongre|cow9/sheep5|14+ (9/5)
94432501|L|-1567|Dynamic_fire07|cow8/sheep6|14+ (8/6)
94433392|W|9556|XDang13|cow6/sheep12|14+ (6/12)
94434287|W|34326|JinchengZhang1|cow8/sheep6|14+ (8/6)
94435169|W|42698|Bharathms1902|cow8/sheep6|14+ (8/6)
94436053|W|25806|Ragunath Ravi|cow8/sheep6|14+ (8/6)
94436961|W|25359|Amitesh Chaudhary|cow8/sheep6|14+ (8/6)
